title,content,stamp,categoryId,subCategoryId,updateTime
"","私人飞行执照 （Private Pilot Certificate）

      学会开飞机，拥有私人飞行执照是实现翱翔蓝天梦的第一步，是通往现代航空的第一课。私人飞行培训课程包括飞前准备，地面操作，起飞和降落，导航和跨界飞行，基本仪器仪表操作，抛锚，紧急应对，夜间操作，与飞行后事宜处理。私人执照可以对多种机型操作并允许携带一名乘客。","1417765841075",2,21,
"公司简介","<blockquote>
<p>上海<a href=""http://www.lovefly.com"">航记飞行</a>投资有限公司是北美及欧洲多家全球著名飞行机构在中国的唯一合作伙伴。目前投资了<a href=""http://www.lovefly.com"">爱●飞行</a>网<a href=""http://www.lovefly.com"">www.lovefly.com</a> 。公司秉承打造中国面向公众的第一航空飞行机构，为飞行爱好者，职业飞行员，与飞行相关的各企事业单位在中国低空飞行领域提供全方位一体化的标准与服务。</p>

<p>公司目前主要从事飞行员培训、飞行维修培训、飞行员职业规划，以及飞机销售与租赁等。公司现可提供欧州航空安全局（EASA)和美国联邦航空局（FAA)认证的飞行执照专业培训，包括私人飞行、商用飞行，和仪器仪表飞行培训。公司在美国，加拿大，澳大利亚，欧洲都有多家专业的培训基地。</p>

<p>公司高层人员20%为博士，其中专业金融投资管理人员占50%，管理团队由计算机 、金融、投行、航空、学校的专业团队组成，致力于打造中国飞行培训第一品牌。</p>
</blockquote>

><p>地址： 上海徐家汇天钥桥路859号北海大厦1号楼6层FG座</p>

><p>电话： 400-602-1513；          传真 （021）6486-1003</p>

><p>E-Mail: <a href=""mailto:info@lovefly.com"">info@lovefly.com</a>        主页：<a href=""http://www.lovefly.com"">www.lovefly.com</a></p>","1417848946475",5,51,"1417848984059"
"常见问题","1. 学开飞机要多长时间，要花多少钱?


>这两个问题是最常被问到的，但是在学习的课程中有太多的因素，这样的问题一般会根据个人，我们一对一的给予不同的解答。然而，下面一些事实可以供您参考：

>> 1）根据美国联邦航空局要求，取得私人飞行执照需要最少35小时的飞行时间。然而一般的平均水品是74小时的飞行时间。我们学员的平均飞行时间是54小时，因此您可以节省大量的时间和金钱。

>> 2）一个全职学生（每个星期4-5节课）一般能在八个星期内完成私人飞行执照课程。如果您能够偶尔一天上两节课，这样的进度就更容易了。一个类似水平的学生一般能在43个星期左右完成私人，仪器仪表，商用，多引擎，CFI，CFII 和 MEI 的学习并取得执照。

>> 3）每个人学习能力是不一样的：当你的课程大纲告诉你一个能够让你获得最大学习效率的学习框架和顺序时，你的熟练程度就可以作为你应该加强学习哪一部分的风向标。安全和掌握永远是我们的第一指导。

>> 4）费用是与时间挂钩的。你学得越快，费用越低。具体的费用算法，我们公司会对您做一个一对一的解答。

2. 学开飞机有健康要求吗?

> 在你第一次独立飞行之前，你必须通过美国联邦航空局的体检AME。我们强烈建议您在飞行前获得这个体检医疗证书。过程十分简单：找到一个离您最近的 AME联系他们并预约通过体检并取得证书。这个证书有三个不同级别。私人和 仪器仪表必须要达到3级；商用必须要取得2级；运输飞行员 必须要获得1级。只要您达到合适的健康标准，AME 就会给你颁发证书。


3. 体检包括哪些内容？

> 体检是由航空体检医生完成的。检查内容包括视力（可佩戴矫正镜片） 、 听力 、 血压及尿检查。检查不包括抽血或者任何其他的侵入性检查。另外您还需提供您正在服用的药物清单，以及可能影响您独立飞行的一些健康状况。

4. 如何报名飞行培训课程?

> 您可以有三种方式报名我们的飞行培训课程。
>> 1). 来我们办公室报名；
>> 2). 访问我们的网站报名；
>> 3). 填写这本小册子最后一页的报名表，并把它寄到我们公司。


5. 为什么要选择我们公司的培训课程？

> 1）我们拥有遍布美国，加拿大，澳大利亚和欧洲的培训基地；

> 2）我们的培训基地拥有经验丰富的教练，与先进的培训设施（包括飞机，模拟机，机场等）；

> 3）我们的培训基地都处在具有最适合飞行培训的气候条件，地理地形的地区；

> 4）我们在培训基地在业界具有良好的口碑；

> 5）我们能够颁发欧州航空安全局（EASA)和美国联邦航空局（FAA)认证的专业飞行执照；

> 6）我们为您量身定制适合您个人的培训课程，提供最佳的培训质量，更低的培训费；

> 7）我们的培训基地处在风景秀丽，气候宜人的旅游城市，让您能够完成培训课程同时，领略当地风光，享受当地美食；

> 8）我们是国内首家，也是最大的正规飞行培训机构。能够为你提供飞行培训，飞行娱乐，飞行职业等一体化的方案。我们的专
业与热情也是您选择我们不可忽略的因素。

> 总之，我们是最棒的，选择我们您不会后悔的。
6. 培训课程什么适合开始?
您可以选择以自己的节奏，一对一的飞行培训课程，随时可以开学。

7. Part 61 与Part 141有什么区别?

> 两者皆是受美国联邦航空局授权并监督的飞行培训标准。拥有Part141资质的培训学校每年需要接受一次航空局的例行检查，包括学校的设施，飞机，课程大纲，学生记录，以及飞行教员的驾驶水平。只有获得Part141资质的学校才能享受VA津贴，招收国际学员，以及更低的飞行小时数要求。不管选择哪种培训标准，你最终获得的飞行执照是一样的。 至于Part 61还是Part 141哪一个更适合您，依您自身是否拥有一定的飞行经验有关。目前，Part 141唯一的优势就是可以在仪器仪表执照培训上节省50个小时的主飞行员跨区飞行时间。但如果你的目标是取得商业飞行员执照，不管怎样您都需要这个主飞行员跨区飞行时间。


8. 需要准备哪些飞行员专用物品？

> 我们为每个学员准备了一个大礼包。里面包含了飞行学员专用物品套装：7张介绍各种与航空相关知识的DVD（价值$215美金）；FAA航空飞行手册与FAA航空知识教材（价值$38美金）；一本飞行日志本与一支圆珠笔（价值$15美金），一个飞行员专用耳机（价值$100美金），一个膝上图夹（价值$45美金)，一个燃料测试器（价值$9)，一份航空站与航空线路地图（价值$15美金），以及一个合适的用于夜间飞行的手电 （价值$100美金）。</p>

9. 参加学习培训需要购买人生与医疗保险吗？

> 虽然培训基地有为每个学员购买飞行训练时的50-100万美元的第三方责任险与5万美元的医疗险。我们建议学员需要自己购买其它时候的人生与医疗保险。

10. 如何成为一名职业飞行员?

> 1）第一步：取得私人飞行员执照；能够驾驶私人飞机。

> 2）第二步：取得仪器仪表培训证；能够在云中安全飞行及正确使用空中交通管制系统。

> 3）第三步：取得单引擎商业飞行员执照；能够驾驶单引擎的商用飞行器，并为此获得报酬。

> 4）第四步：取得多引擎商业飞行员执照；能够驾驶多引擎的商用飞行器，并为此获得报酬。

11. 开飞机是否安全?

> 安全是一个相对的概念。举个例子，如果您需要从美国西海岸到东海岸，大概2900英里，开车大概需要42小时，走路需要948小时（以Google Map为准），开飞机比开车和走路都安全。当然开飞机是否安全与你对开飞机飞行的熟练程度，以及飞机机型等有关。

12. 拥有飞行执照可以做什么？

> 简单的说，拥有飞行执照您就可以自己开飞机，翱翔蓝天，实现自己的飞天梦。携带自己的爱人一起，表达爱意，欣赏美景，享受温馨时光。展现自我，最求时尚，体现自己的人生价值。

> 拥有一张私人飞行驾驶执照，您可以不受越来越拥堵的城市交通限制，可以缩短你的旅程，节省您的宝贵时间，减少疲劳，使许多原先不能去的地方变成可能，使您的工作更有效率，走亲访友，增加娱乐，使您的生活更加丰富，使您拥有一份与众不同的人生经历。

> 拥有一张商业飞行驾驶执照，您可以在实现自己的飞行梦的同时还能拥有一份收入丰厚，受人尊重与羡慕的职业。据调查未来20年内，全球需要新增近47万名飞行员，随着市场对职业飞行员需求的增加，职业飞行员又是一份稳定的职业。作为一名职业飞行员，您可以从事一下一些工作（仅供参考）。

>> a.  商业航空飞行员

>> b.  区域航空飞行员

>> c.  租赁飞机飞行员

>> d.  货物运输飞行员

>> e.  军事/部队飞行员

>> f.   飞行教练

>> g.  无人区飞行的飞行员

>> h.  作物喷粉的飞行员

>> i.  拉广告横幅飞机飞行员","1417849491777",1,15,"1417851295153"
"私人飞行执照（Private Pilot Certificate）","&nbsp;&nbsp;&nbsp;&nbsp;学会开飞机，拥有私人飞行执照是实现翱翔蓝天梦的第一步，是通往现代航空的第一课。私人飞行培训课程包括飞前准备，地面操作，起飞和
降落，导航和跨界飞行，基本仪器仪表操作，抛锚，紧急应对，夜间操作，与飞行后事宜处理。私人执照可以对多种机型操作并允许携带一名乘客。

<br/><br/>

![title](http://lovefly.qiniudn.com/feixing1.jpg)","1417849556775",2,21,
"仪器仪表操作执照（Instrument Rating）","&nbsp;&nbsp;&nbsp;&nbsp;顺利完成该课程能够保证飞行员在全球任何地方对航空管制系统进行独立正确安全操作，能够在更广泛的气候条件下（低能见度）进行飞行操作。拥有仪器仪表执照是航空公司招生时的最重要考察指标。

<br/> <br/>

![rating](http://lovefly.qiniudn.com/rating.png)","1417850119137",2,22,
"商业飞行执照 （Commercial Pilot Certificate）","&nbsp;&nbsp;&nbsp;&nbsp;商业飞行执照分为单引擎与多引擎两种。单引擎只能对单引擎飞行器操作。多引擎可以对多引擎飞行器操作。只有拥有商业飞行执照才能成为一名职业的飞行员，才能执行收费的载客或者载货飞行任务。
<br/><br/>

![Certificate](http://lovefly.qiniudn.com/certificate.jpg)","1417850462620",2,23,
"商业飞行执照 （Commercial Pilot Certificate）","<p>&nbsp;&nbsp;&nbsp;&nbsp;商业飞行执照分为单引擎与多引擎两种。单引擎只能对单引擎飞行器操作。多引擎可以对多引擎飞行器操作。只有拥有商业飞行执照才能成为一名职业的飞行员，才能执行收费的载客或者载货飞行任务。
<br/><br/></p>

<p><img src=""http://lovefly.qiniudn.com/certificate.jpg"" alt=""Certificate"" />
</p>","1417850603230",2,24,
"多引擎飞行执照（Multi-engine Rating)","&nbsp;&nbsp;&nbsp;&nbsp;目前市场对拥有多引擎飞行执照的飞行员需求越来越多。该课程重点放在提高学员对多引擎飞行器的操作技巧与熟练程度。
<br/><br/>

![multi](http://lovefly.qiniudn.com/multi.jpg)","1417850747773",2,25,
"其它执照（Others）","<p>
<font color=""red"" size=""4"">&middot;</font>飞行教练认证<br/>
<font color=""red"" size=""4"">&middot;</font>仪器仪表飞行教练认证<br/>
<font color=""red"" size=""4"">&middot;</font>多引擎教练认证<br/>
<font color=""red"" size=""4"">&middot;</font>运输机飞行执照<br/>
<font color=""red"" size=""4"">&middot;</font>飞机维修培训<br/>
<font color=""red"" size=""4"">&middot;</font>所有课程内容均以官方网站为准</p>

<p><br/>
<br/></p>

<p><img src=""http://lovefly.qiniudn.com/others.png"" alt=""title"" />
</p>","1417851241109",2,26,"1417852104866"
"飞行器和模拟器类型","<font color=""red"" size=""4"">&middot;</font>&nbsp;每个培训基地都有质优量多的飞行器与模拟器供学员使用。<br/>
<font color=""red"" size=""4"">&middot;</font>&nbsp;所有的器械都是通过FAA或者EASA认证的。<br/>
<font color=""red"" size=""4"">&middot;</font>&nbsp;不同的培训基地拥有不同类型的飞行器与模拟器。但大部分都拥有以下几个机型的飞行器与模拟器：<br/>
&nbsp;&nbsp;&nbsp;&nbsp;1.&nbsp;赛斯纳152-捕天者（Cessna 152-SkyCatcher)<br/>
&nbsp;&nbsp;&nbsp;&nbsp;2.&nbsp;赛斯纳172-天鹰（Cessna 172-SkyHawk)<br/>
&nbsp;&nbsp;&nbsp;&nbsp;3.&nbsp;Piper Arrow (Complex)&nbsp;<br/>
&nbsp;&nbsp;&nbsp;&nbsp;4.&nbsp;Piper Seneca (Multi-engine)<br/>
&nbsp;&nbsp;&nbsp;&nbsp;5.&nbsp;FLY-IT Ground Trainer (Single/Multi-engine)<br/>

<br/>

<font color=""red"" size=""4"">&middot;</font>&nbsp;所有飞行器与模拟器的图片仅供参考。","1417852523446",1,13,
